puntaje,reseña
,"All expansions and promos combined in base game box

Includes:
- Tiny Towns: FLGS and Larkstone Promo Cards
- Tiny Towns: Fortune
- Tiny Towns: Fortune – Pirate's Den
- Tiny Towns: Tiny Trees
- Tiny Towns: Villagers"
8,"This game is just a perfect little puzzle. Each mode is great, everything is super cute, and it's easy to teach and highly replayable."
3,"Initial thoughts after 1 play... Played at 4 with our children and recommended first setup.

I enjoyed the early game of placing and planning resource cubes. The fact that you don't have to force-build provides some flexibility in between turns. I wasn't concerned with what others were doing until later on when it was more obvious what resources some players were going to call, and I tried to use that to my advantage.

Unfortunately, the late game felt like a coin toss due to both the limitation of space and the limitation of what others needed. Sadly, I feel like I've played games like this before. The reduction of mechanics paired with a variable player power (the monuments) generally leads to games being decided by that power. It will be interesting to play this a few more times and see how that hypothesis holds up."
7.5,"Soloable.

Tiny Towns is an attractive, medium light, bingo/flip and write/grid coverage game. It involves arranging cubes in polynomial shapes to then convert to 8 building types on a 4x4 player board which interact with one another for different action and scoring possibilities. It is easy to play, but difficult to master."
7,"Great game. Easy to teach with a decent amount of strategic depth. Great at high player counts as well as low. Lots of replayabilty, very happy with this game.

Edit January, 2025:
I think the game is good however, my tastes have changed and there are often other games i would rather play. like it, dont love it so its on the cull list."
4,Not really for me but I can see why others would enjoy!
10,Outstanding pattern building game that utilizes the shrinking space mechanism to create a lot of tension. Some nice available expansions expand the game and add variety. Quick playing at about 45 minutes. In my top 100.
5,"A surprisingly charming party or newbie game with a few strategic twists in timing and punishing those who time badly.

Sell price: 20"
6,"Tiny Tows is an interesting city placement game where the challenge lies in strategically placing building resources in order to maximize scoring potential. Also, the game does a great job of adding variety by having different buildings and monuments on each playthrough.

However, I felt like each turn was a solo exercise in optimization. I prefer having more player interaction or options."
6,"I bought this for something like $4 on a huge blowout sale, so the value for money was already there from the get-go. Super fun, basic placement game with some frustrating, agonizing decisions. Will probably never get the expansion, but at least I cut the base game box down to take up less space!

It's a nice filler that I don't often bring out but I'm happy to keep around. Not exceptional, but eminently approachable.

Jan '23: Rated 7
Dec '24: Rated 6"
7,"Challenging, but very interesting. Nice mechanic, with a lot of different options.

(2024) (2025)"
7,"Artwork: 6
Mechanic: 7
Theme: 7
Fun: 7
Quality: 8
———————————-
SCORE: 7.0
———————————-"
6,"Love this game, it is so much fun. I don't care if I win or lose, this game is fun to play."
7.5,"Very good city building game with an unfortunately high chance of costly errors

6 player max"
5,"Chels: 5
Ant: 5

Fine enough spacial game, though Chels hates the spacial part, and Anthony only likes the 'force people to take resources they don't want', which Chels hates."
7.5,"I rated this on par with Quadropolis but I might like Quadropolis a bit better. Great production value and my adult kids had a lot of fun solving their personal puzzle. No player interaction other then blocking someone with you resource choice. I like the ratio of rule simplicity to decisions though decisions weren't heavy. More of an exercise of trying how to make an unwanted resource useful down the road. I started with the recommended cards but I'll switch it up to see if that improves the rating.

Expansions:
Tiny Towns: FLGS and Larkstone Promo Cards (2020)

(G)"
4,"I'm not a big fan of abstract, puzzly pattern games. This one was no exception."
7.5,A fun quick game that is easy to teach. My 8-year-old nephew was able to pick it up in 15 minutes.
6.3,"This game is WONDERFUL! We love playing it. It has an awesome variant for beginning players to be able to keep two cubes reserved to the side at all times, which really helped keep the game competitive for us since I am lousy at spatial games.

The concept is very fun and the game is easy to learn. The variety of meeples and the gorgeous colors of them is awesome. The artwork is fantastic. The game feels different each time because of the variety of buildings, especially if you add in the expansion packs. We love it!"
1,"Boring bingo style VP optimization puzzle, I see no reason to return to this one as you've seen all the game has to offer on the first play."
7,"A very solid game in the roll and write family of gameplay styles except a player gets to decide on the roll every turn.

The problem with this game is that on the first few turns, you effectively need to digest all of the possible buildings in the game and create your game play very quickly, then just follow through. There is not nearly as much on the fly strategizing compared to the rest of the roll and write genre once you've played the game 2 or 3 times and know what you need to do in order to succeed.

But then on your first and second game players who don't click and feel regret for their decisions early on have a very very bad time, so it is very punishing in that sense as you get eliminated quite early if you don't know what you're doing."
9,"Cute family game that is quick playing. Simple rules, nice art and components."
8.1,"I've had the same frustrations others experience with this game.

It might as well have been given a Lovecraftian theme and called Cosmic Abominations instead of Tiny Towns. So, given the pleasingly colorful art, this needs to be said upfront: this ain’t a kids game.

Between every game, there are seven main facts of the gameplay that can change. These are the requirements and consequences of the seven buildings players will be building. Because of this variability and the spatial nature of the puzzle, the potential for AP is enormous.

But it's easy to make the game better, for solo or group play.

First, make sure the seven building cards you've selected have a fairly balanced distribution of resources. If you count four to six of each resource across the seven cards, you'll likely have a happier game.

Next, try the official Town Hall variant on page 6 of the rulebook. It may reduce interactivity, but it changes the vibe of the game to something a bit less punishing. You can also try removing some of the more complicated or difficult-to-build cards from play.

If you still struggle or want to make it more forgiving for new players, try the Cavern Rule (page 4). This lets you store two resources just off your board for later use.

Finally, especially with new or younger players, put aside the Monuments or agree to use a handful of balanced ones. The game is plenty interesting without them and can be very unbalanced with them.

I now play with the Fortune expansion. I like how the coins add a wild to the game. The cards integrate the coins nicely, but aren't necessary to try them. Download the expansion rules and try the coins using your own tokens: you earn a coin when you construct two buildings in the same round, and you can only keep up to four at any one time. You can spend them to use any resource on a turn.

My rating is mostly for solo play, but takes into account using some of the above tweaks. Without them, my rating would be a bit lower."
8,"I like optimization puzzles, and I like games with a lot of potential cursing at your opponents, but I didn't like the combination in this one. I think the pace was a bit too slow if you stopped to take your opponents into account, and a bit arbitrary if you didn't, making this much, much better at 2."
7,"Pattern building

1–6 Players
45–60 Min
Age: 14+
Weight: 2.07 / 5"
,"played once with friends, feel like this is a game I would want to like, but frequently get frustrated by"
8,"This is the perfect game. Easy to understand and start playing. Very simple mechanics. But at the same time, i would argue that there is a high skill cap for this game. Once you know how to play and are more comfortable with the systems and the variety of buildings, you can engage in predicting oponents' calls and plan accordingly. You can also try to build your board in the right direction while simultaneously putting your opponents in a tough/awkward position. On top of everything I said, the game goes by fast so it's easy to play multiple rounds in one sitting."
,"Extras Wanted

Sleeves:
- Paladin (Percival) x 1

- Paladin (Bors) x 3"
7,"One of my favorite things about this game is that with the Town Hall rules, it plays great at literally every player count, and you can easily play >6 by just making some extra player boards out of cardboard or paper. The only limit is resource cubes and buildings."
8,"Bought this to play with my partner, she really liked it. Its cute and has unique mechanics."
2,"Way too tight for my taste. I just do not enjoy games like this, especially when other player's choices have such huge bearing on my strategy."
7.5,I really like the puzzley nature of this one though it can be frustrating at higher player counts. The wooden buildings are cool and I appreciate the variety available in the cards.
6,I might have 2 new copies and they might have both been stolen
6.5,"Fast-paced, simultaneous play, and good replayability. Recommend always playing with both the Monuments and Resources deck."
6,"A Light, lovely, but Tough Abstract game that plays in an hour or less. Not multi-player solitaire. A lot of replayability.

I suck at this. Not my type of game."
4,"Wanted more interaction in my tile laying games, but after several plays this one includes only take-that."
8,"with Tiny Towns: FLGS and Larkstone Promo Cards (2020), Tiny Towns: Fortune (English edition) (2020), Tiny Towns: Tiny Trees (2020), Tiny Towns: Villagers (2020)"
5.5,"Too punishing, just overall don't have fun with it. Has been replaced by AEGs new game, Shake That City for me."
9,"Tile laying game which can be extremely mean. It's one of my first introduction games that I show to people. It gives those decisions of ""well nothing I do is good here"" which are always crunchy and brainy.

This game is also excellent single player. It really makes you think, and you know that everything that you do is (mostly) your fault."
4.5,"An interesting concept but just not enough interesting choices. Feels like there's not much reason to do anything different if you find a strategy that works.

8/20/24: Score adj. 4.5"
7,"The game is fun, but it can be frustrating enough that I don't get it out unless I know all the players can handle the game without rage-quitting."
7,"I do like this game, I'm just bad at it. Spatially, I'm very unaware, so trying to think ahead to plot places for my buildings is a very difficult task. The pieces are cute, the buildings are cute and for the price, you're getting a relatively deluxified game.

If my boyfriend didn't absolutely despise this game, I think I would play it a lot more and enjoy it more because of it, but if it were to leave my collection, I wouldn't be devastated by any means."
6,Cutesie family level game that has so much variability with all the expansions. It's rare you'd ever play the exact same game ever which is cool. Not a game for the spacially unaware though. The non chiral nature of the block layouts can prove a brain burner for some folks.
,"FORM: PHYSICAL
INCLUDES:
- ARCHITECTS EXPANSION
- FORTUNES EXPANSION
- VILLAGERS EXPANSION
LOCATION: UPSTAIRS
SPECIAL INFO: KICKSTARTER"
8,"Prior to 2020: 3 plays

Some games manage to create incredibly compelling puzzles for the players to solve, and Tiny Towns is no exception to this rule. While the game can sometimes devolve into a bit of a solitaire puzzle at times (although, I'd argue that this is mostly due to poor play - good players will try to select cube colors that are ineffective based on what their opponents are trying to build their strategies towards), it's a puzzle that is immensely interesting and challenging to tackle correctly. It's a game that is incredibly punishing of players' mistakes, and one that forces players to both have strategic vision regarding the development of their board while also maintaining tactical fluency to adapt to cube draws that are less-than-preferred. It mixes ""polyomino"" style games with an economic engine, as so many buildings play off of each other and all are built via the placement of various cubes in a specific pattern. If there's one thing that makes me hesitate from giving this a higher score, it's the special buildings that players are given at the beginning of the game - I'm not sure their balance holds across all player counts due to some being much more reliant on more difficult patterns or scorings, which may not synergize as well with the types of buildings in play. I'd consider playing a variant where theres n+1 buildings (n = # of players) openly available to build at a first-come-first-serve basis. Even still, this is a reasonably minor complaint in an otherwise exceptional game of spatial puzzling, planning, and decision-making. A modern classic that I see myself continuing to play well into the future. Definite keeper."
4,"Kind of a roll & write with a bit more agency - players choose which thing they have to place each turn rather than it being determined randomly, so you can try to choose something more helpful to you than the others. Still not a genre I enjoy much though, especially in this case where doing remotely well involves doing spatial planning many turns in advance."
,Nice puzzly placement game. Polyomino style shapes that you place with resource cubes but only one square is taken by the final built piece freeing up space to build other buildings. The end game was strange. Players get to keep going when others have got stuck with a filled board but no legal buildings to create. People were waiting around while one player got to do many optimal moves to easily place buildings. A 6 or 7?
7,"Nephew's game. Simple spatial puzzle. Nice table presence but actually very abstract. Quick. Score can be wrecked in a blink. Fun and frustrating.

Last played 2024"
7,"Positive first impressions. Simple rule set, pretty quick, lots of thought. A good option to have in a collection but nobody seems to clamor to play it."
7,"Fun, sometimes mean, puzzle of a game. The buildings all having a unique power or scoring condition is cool and keeps the variety there with all the different combinations. Honestly though, this can be mean, play it in the right crowd.

Update: Enjoyed my time with Tiny Towns, but I seem to enjoy it more than most of the people I play it with. It's just time to move on.

Update 2: I miss playing Tiny Towns, my friends are wrong!!

Ideal Player Count: 3"
5,It was an okay game which obviously did not make much of an impression.
6,"City building filler game. One pattern card for each type of building is revealed at the start of the game. Each player gets a grid. In turn order each player calls out a color of cube, and then all players have to take one and place it into their grid on an empty space. Then if they have a grid state that matches a pattern on one of the cards they can clear the cubes and place a building token in one of the spaces those cubes occupied. To keep things from being symmetrical, each player gets one special building card to their hand which grants them a different ability or scoring opportunity once built. The game continues until everyone's grid is full of buildings or useless cubes. Then you score and are punished for spaces without buildings.

The game plays quickly, and it's quite satisfying to try and tetris these cube patterns while avoiding getting cubes stuck in an arrangement that won't be able to complete a pattern. Clever players can watch for colors you need and try and call out colors they can use but you can't to trip you up and also manipulate you into calling a color they need.

We had one oddity, there is one of the asymmetric cards which once built had the ability to let the owning player place a completed building anywhere in their grid rather than forcing them to place into one of the spaces those cubes occupied. This seemed a little overpowered, but perhaps with additional plays we would see it differently."
8,I just really like this game a lot. It's like Tetris with towns.
4,"At one point in every session I've had of this, I've looked around the table and was the only person with their head up, looking at anyone else. That should tell you all you need to know depending on your preferred level of player interaction. It's a nice little puzzle, but for me is akin to doing a Sudoku alone at home. Everyone just kind of says the score they got at the end, and you could easily go the rest of the game without saying a word. If a game actively drives down my engagement with friends or family, I'm not going to be a fan regardless of how clever it is."
8,"Super easy to learn/teach, but there are a lot of decisions to make."
6,An excellent family tittle that has some player interaction and table engagement from the bingo-style gameplay - but is ultimately still headsdown.
6,"7.5 - 4 plays - Very enjoyable game. Nice, quick, thinky puzzle. I really enjoy spacial puzzles and this hits the spot! Fairly easy to teach. I expect the varied scoring cards will keep one from falling into the same strategy every game. It has the same tension as Cascadia and Calico where you make plans but then have to pivot and adjust when less than ideal resources come into play. Very good tension throughout. Have only played at 4 so far with regular rules.

7.0 - Not feeling super drawn back after 8 plays. It's really hard to pull off a non-cottage strategy (even though they're supposed to be more powerful) which is unsatisfying. New players always just go for cottages which makes it even more difficult.

6.5 - 10 plays - Don't love this game, decisions feel a little too simple and it seems too easy to get screwed by the card draw, but Julie likes it so it stays in the collection."
8,"Played at a board game café, loved it, bought it same day! I like it a lot. My husband doesn't like it as much."
9.5,Was my top game of all time but still a fantastic game to bring to the table.
6,Wonderful abstract town building game. It’s quiet strategic at two and more chaotic with each added player. At higher player counts consider using the variant rules for choosing resources. Tons of variety and replay value in the box. Solid components that compliment a tight brain burner.
6.5,"Should be right up my street, but somehow the game falls flat. Just not enough happening, and in the later stages your options are very limited."
5,"Not certain I like this at player counts above four (the input chaos is extreme), or with the Mayor variant (player interaction completely disappears). It’s a cool game at 4 or fewer, but I’m not convinced I would select it over other games of similar depth at those player counts. It also takes up a lot of space for what is basically a chromed-out roll and write."
10,This one is one of my one true loves - such a fun one to play with large groups but also SUPER fun solo!
7,This game may look cute but it is so much trickier then it seems!! Having to take the color your competitor picks makes the game harder the more players you have! So fun and for sure one I want to bring out more!
7,"Included in Box:
Tiny Towns: Fortune
Tiny Towns: Architects
Tiny Towns: Tiny Trees
Tiny Towns: FLGS and Larkstone Promo Cards"
9,"For a game that looks like it's for kids, it's extremely crunchy. The thinkiness is great, but once every 3-5 games, you just have a game where you can't get things done due to the choices of other people. That's kind of a high percentage, other one this would be knocking on a 10."
9,"Tiny Towns is a fun little puzzle game that is accessible for players of all skill levels. Games are relatively quick--most can be completed in an hour or less, even with new players. The artwork and game pieces are very cute and aesthetically pleasing, and there is enough variety to keep the game interesting through multiple playthroughs."
7,"Only two plays in. I need more to fully wrap my head around it, but I really like it and think it will improve with time."
7,"This is a fun little polyomino game reminiscent of roll and writes.

(Plays: 1)"
7.8,"Fun little puzzle with great components, simultaneous gameplay, and an appropriate time duration. Also added the Villagers expansion (June 2021), plus the Architects and Tiny Trees expansions (AE Kickstarter 2023)."
6,"I tend to prefer strategic games, and -- for me -- this game has far too much out of a player's control. I love the idea and length of it, and because my family loves it, I'll play it. It's just not one I'd ever suggest."
,Noble Knights NM + Foam Insert + Villagers Exp + Fortune Exp $80. Upgraded w/Levity stickers (Etsy).
5,"In this game players will place resources on their tableau, and create different formations to form buildings. Once a building is formed resources making that shape are removed, and the building is placed on any square that had a resource. Buildings are scored based on adjacency or other conditions.

Pros:
- easy to learn
- need to be flexibl

Cons:
- multiplayer solitaire

Feels Good:
- puzzling out a great move, after being screwed of some resources

Feels Bad:
- miscalculations"
4,"A major disappointment for a game I thought Marie would love constructing the buildings in the town, but there were so few interesting decisions other than how will I try to score (which pretty much has to be decided before the game begins). Positive buzz for me on this one and it was just bad for us."
6,"Cute little game, but it can be frustrating with the standard rules at two. We're now trying the Town Hall rules to see how we get on.

Some of the monument cards can be really tricky, and if both of your options are difficult it can feel a bit daunting.

We also primarily play at 2, which I have a hunch might not be the best player count. I think the chaos of 3 or 4 people with different strategies might work better.

EDIT: Enjoying it more with the Town Hall rules at two, though it does mean some of the monument rules don't work and it removes some of the slickness. Upgraded from a 6 to a 7."
8.8,"I've played a few times over a single weekend. I was super excited about this one but it still sits luke warm for me. Perhaps it is more interesting with others, but I am playing solo. Jury is still out."
7,"Review:
A light and fairly quick city-building game which sees players try to best utilize space on their own boards by making resource choices on their turn and also having to implement the selections of other players. Variable buildings each game help to keep games fresh along with charming artwork.

Recommend 3-4 players

Good:
* Brisk turns.
* Watching city planning work out.
* Differing strategies each game.

Not so good:
* Feeling helpless when a mistake was made.
* Playing with 5-6 players without the Town Hall variant."
7.1,"+ Clever, brain-burning, multiple paths to victory. Spatial awareness.
- Unforgiving, downtime if your town fills up faster than others."
,FIRST PLAY: Place cubes in your 4x4 grid and convert them into different buildings to score points. Fairly light but agonising spatial puzzle. Multiplayer solo. 7/10
8,"I have mostly played this solo. Great little puzzle that I seem to appreciate more and more each time with the various combinations of building types.

Reducing from 9 to 8 due to the severe AP this causes me. You need to think very very far ahead."
7,4/16/24 - Changing my rating from 6 stars to 7 stars. I'm enjoying this much more than I did my first time through.
8,"Could be used as both a filler and a feature. Could be played lightly or with brain crunch. After one play it’s going to be a fixture in my boardgame bag. Enjoyed it that much. Short rule book, and goes up to six, which is great for any board game night with more than four."
8.5,"Incredible game. So simple to understand, yet sooo difficult to win lol. This is the epitome of elegant game design. There's a lot to think about despite how simple the game is."
,"Adorable, with stimmy pieces. Cute little woodland creatures (think Wind in the Willows) are building a town with very limited resources. You also have so little space to work with that you have to store your resources and build your buildings on the same tiny 4x4 grid.

+ Tiny Towns"
7.5,"Game category: counter placing

Really good game, gets harder as the game goes on as you run out of space."
6.8,"ok, this is ranked 87 as a family game... and rules are pretty simple... but boy on actual play this is much harder than it looks... I had to try to keep track of multiple buildings I had under construction at same time.

I also ended up being only player left who was still in play near end and so I had maybe a dozen turns all by myself where I just called out the building materials I wanted and built what i wanted that could fit.... that seems like a huge advantage?"
,"Build a town one building at a time by making puzzly patterns with colorful cubes.

>Full length game
>Player Count: 1 to 6
>Difficulty Level: Family Plus
>BGG Top 100 Family Game"
8,"Rating based on 2-player games so far. It's interesting, kind of a love child born from Quadropolis, Azul, and Karuba. It has more interaction than Karuba, which was way too solitary for my game group to get behind. The puzzly nature of the game makes it a fun little brain burner. We played an initial game without any monuments, just to get the mechanics down. The result was a game that felt a bit samey, like we were both building to the same strategy. Thus, the resource calls were pretty predictable. Then, we added in the monuments and the asymmetrical game play changed the resource calls completely, so that was nice! After getting comfy with the recommended start buildings, switch up the main building cards and it added another layer. So, right now it feels like an onion where you keep peeling back the layers. It plays quick and you do get that itch of ""let's go one more time"" when a game ends. Want to get more players in the mix to see how that goes, but so far it's a solid 7. My only gripe is the box size. My comment to my FLGS when I picked it up was ""Tiny Towns... in a not so tiny box"". If I keep this one, I may repackage this to a smaller box just to make it easier to get this in my bag for pub game night.

UPDATE 5/6/19: Got this to the table with 4 players over the weekend and it didn't go over well. In one game, a player dominated with a Greenhouse/Barrett Castle combo. In successive games, I was not having luck getting the cubes to go my way and it left a blah taste in my mouth as I watched the other players finish their towns as I totaled up my losing score. In the end, a couple folks at the table felt the game was more or less determined at the outset and played on rails. Dropping the rating accordingly. Doubt this one will stay in the collection.

Update 2024:
For some reason, maybe it was another content creator's video they posted or something... but I felt the need to revisit this release and try it again. And if ever there was an ""it wasn't you, it's me"" apology required, it's with this title. Reading my above review, I cannot help but feel like I was reviewing a completely different game. If it weren't for the specific mentions of Greenhouse or Barrett Castle, I would have considered that I reviewed the wrong game here. But, I didn't... and what I've realized is that this game is actually pretty darn good. I'm pegging it a solid 7 / B-Tier game for the moment. But it has room to rise. I'm adding the expansions here in the coming months via trade, so cannot wait to see how that influences my opinion. But as it stands, I'm looking forward to playing this more. This is truly a game that I couldn't stand 5 years ago that is really providing enjoyment today. Go figure."
7.5,A fast playing abstract game where you convert placed cubes into buildings. Cubes are chosen by the players and the puzzle is fitting them into a grid.
8,Backed the AEG Expansion Extravaganza Kickstarter campaign at the All in Bundle! pledge level.
7,"There's a lot to it. We have played several times and we still haven't ""graduated"" to playing all the card options. Looking forward to doing that, though."
8,"Have really enjoyed with 2, 3, and 4. It gets more chaotic with more players since more resources being called out are not your choice  A perfect example of ""funstration"". The puzzle gets harder and tighter as the game goes on and most of the issues you encounter are your own fault because of prior decisions. Haven't scratched all the different building types and combinations. Love the components too."
,"Best w/3, 1-5; Solo Recommended

Including:
+ Fortune + Larkstone
+ FLGS promo cards + Villagers
+ Architects Exp. (KS)"
6,Not a great game but a decent one. I enjoy the gameplay generally but always feel like i'm one away from horribly losing in the worst way. Probably would recommend kingdomino over this.
4,"Owned it, sold it (thank goodness). I definitely did not enjoy this game. Hate depending on other players moves in such a limited environment. This game is lucky to be ranked as high as it is but I imagine it will lose its popularity over time."
7,"Of all the games on this list (so far) rating Tiny Towns is the hardest for me. What number do I put on a game I almost never win, sometimes am frustrated by, and yet still for some reason it appeals to me and I would almost always play if someone asked me to? It's weird! I can't quite wrap my head around this one. I like it, most days, and sometimes it is annoying, ha ha.

It's kind of like I WANT to like it more than I DO like it, and that desire makes me like it a bit more than I otherwise would! (Just writing about it has made me want to go play it again...)"
3,"3 feels low, but BGG's descriptive text is accurate for my rating. ""Bad - likely won't play this again."" My wife and I both felt this way. While there's some nice colorful art on the construction cards, the theme is completely unfelt when playing the game. It's just an abstract puzzle with a scarcity vibe. It could easily lead players to AP, I suspect, and the process just didn't have anything really fun about it, other than the times you trade in cubes for a construction."
7.5,I like the simplicity of the rules and the complexity of the puzzle. It also has great production value.
7.2,"Great little game, but had too many bits to take and play anywhere — so it hardly ever got played. Sold it."
7,A remarkably thinky puzzle that can be extremely frustrating and cause AP. Not what one expects from the title!
7,"Gorgeous game that can be either a fun family game, or brainburning puzzle depending on how you play. My friends who prefer heavy games kinda lost their minds around this somehow - so thinky, yet so simple. Card abilities can be a bit overwhelming at first, so this has a bit of a learning curve that may scare away non-gamers."
9,Great family game with enough depth of play for more advanced gamers.
7,"It's surprisingly cut-throat and frustrating for a cozy-looking game. Cartographers, which have literal goblins invading your map, is somehow more pleasant and chill. In addition to this theme mismatch, the idea of the game is more fun than the game, making this a 2nd place to Cartographers for me. Though I wish Cartographers would have similar components."
,Score points by using resources to build the most prosperous town. Up to 6 players.
,"The game is opened and organized, but has never been played."
