Sujeto,Relación,Objeto
All In Games,Related Game,Dead Men Tell No Tales
All In Games,Related Game,Crypt
All In Games,Related Game,The Lost Expedition: The Fountain of Youth & Other Adventures
All In Games,Related Game,The Lost Expedition: The Cursed Idol – Solo Promo
Tiny Towns,Publishers,Arrakis Games
Arrakis Games,Descripcion,"Arrakis Games is a new Spanish publisher created to bring the Spanish community all kind of games, from any thematic or genre, from modern classics to the latest news.
________________________
Arrakis Games es una nueva editorial española creada para poner al alcance de la comunidad hispanohablante todo tipo de juegos, de cualquier temática o género, desde clásicos modernos a las últimas novedades."
Arrakis Games,Related Game,Spirit Island
Arrakis Games,Related Game,Orléans
Arrakis Games,Related Game,Underwater Cities
Arrakis Games,Related Game,Praga Caput Regni
Arrakis Games,Related Game,Modern Art
Arrakis Games,Related Game,Suburbia
Tiny Towns,Publishers,Broadway Toys LTD
Broadway Toys LTD,Descripcion,"“Let more people share what we love”
Broadway Toys Limited, a board game publisher based in Hong Kong since 2012. Over a decade of experience in delivering high quality board games that we enjoy. We have localized more than 600 hundred board games into The Greater China regions.
In 2018, we even started self-publishing!
Our team have already released 6 fun and engaging titles, and remade & co-published 4 additional ones! Many more to come!
Latest news on Broadway Toys!
Twitter: Broadway Toys Limited on Twitter
Facebook: Broadway Toys Limited EN
Instagram: broadway.toys
Youtube: 栢龍玩具 - Broadway Toys Limited
Contact Us
If you are looking distribution partner, or looking for someone to publish your great idea,
Email Us: bwlicensing@longshore.com.hk (for distribution)
Email Us: bwdev@longshore.com.hk (for origin design)
Broadway Titles
Latest Release
Infiltraitors (2023)

Sacred Valley (2023)
Released
Chaotic Studio (2022) – A game that challenges players’ ability to piece together segmented drawings.
Heaven, Here I Come! (2021) – A hidden role game where players try to bluff their way into heaven.
Fairy Prank(2020) – A children game to identify the missing piece in a treasure box.
Dim Sum Jam(2019) – A real-time cooperative game about Chinese Dim Sum restaurant simulation.
Remakes & Co published
10 Days in the USA, 10 Days in Europe (2019)
Call of Nature (2022)
Ahoy! Kitten(2022)
Roller Coaster Rush (2023)
Hare & Tortoise (2018)
Starlit Obelisks of Zarn (2016)"
Broadway Toys LTD,Related Game,Dune: Imperium
Broadway Toys LTD,Related Game,The Castles of Burgundy
Broadway Toys LTD,Related Game,Great Western Trail
Broadway Toys LTD,Related Game,Azul
Broadway Toys LTD,Related Game,Trajan
Broadway Toys LTD,Related Game,Codenames
Tiny Towns,Publishers,CMON Global Limited
CMON Global Limited,Descripcion,"When it started business, CMON Limited manufactured miniatures and miniature-related wargames. Over time, the company started publishing board games with a miniatures-related theme, such as Arcadia Quest, Blood Rage, and Zombicide. In 2015, CMON Limited escalated its game publication efforts, branching out into many different types of publications and partnering with publishers in Europe and Australia to release games in the North American market and elsewhere.
Microbadge
— CMON fan
— I RPG using Cool Minis
Mouseover: I love to amp up my RPG theme flavor using Cool Minis!
Admin Note:
CMON Limited was formerly known as Cool Mini Or Not, changing its name in 2016."
CMON Global Limited,Related Game,Brass: Birmingham
CMON Global Limited,Related Game,Ark Nova
CMON Global Limited,Related Game,Frosthaven
CMON Global Limited,Related Game,Root
CMON Global Limited,Related Game,Everdell
CMON Global Limited,Related Game,Hegemony: Lead Your Class to Victory
Tiny Towns,Publishers,Fractal Juegos
Fractal Juegos,Descripcion,"Fractal Juegos is a board game publisher from Chile. Fractal Juegos has localized to Spanish titles such as Takenoko, Draftosaurus, The Mind, 6 Nimmt, Saboteur, Odin, etc. They has also developed original titles such as Sea Dragons, Nebula, Corruptia, Tough Calls, and more.
https://www.fractaljuegos.com/originaltitles"
Fractal Juegos,Related Game,Modern Art
Fractal Juegos,Related Game,Arboretum
Fractal Juegos,Related Game,Takenoko
Fractal Juegos,Related Game,IKI
Fractal Juegos,Related Game,Tiny Towns
Fractal Juegos,Related Game,Bohnanza
Tiny Towns,Publishers,GaGa Games
GaGa Games,Descripcion,"We love board games. And we want more people to enjoy them. That's why we create, publish and distribute board games and organize various gaming events.
Our team consists of more than 80 employees and each of them is crazy about board games.
We have 10 board game shops in Saint-Petersburg.
Our partners from all over Russia sell our games in their stores.
Currently we publish about 3 new games a month including our own games and localizations of great games from all over the world.
We are focused on all kinds of board games: games for kids, for the whole family, and games for adults."
GaGa Games,Related Game,War of the Ring: Second Edition
GaGa Games,Related Game,Twilight Struggle
GaGa Games,Related Game,Through the Ages: A New Story of Civilization
GaGa Games,Related Game,Lost Ruins of Arnak
GaGa Games,Related Game,Orléans
GaGa Games,Related Game,Tzolk'in: The Mayan Calendar
Tiny Towns,Publishers,Galápagos Jogos
Galápagos Jogos,Descripcion,"One of the fast growing Brazilian Publisher of modern BoardGames. Publishing top quality boardgames in Brazil since 2010!
Galápagos Jogos started by publishing games from Brazilian designers and from it's own design team.
In 2012, the company felt ready to take a step outside Brazil and start to publish international amazing BoardGames titles.
Building strong partnerships in the last 3 years, like Fantasy Flight Games, Asmodee, Days of Wonder, Iello, Plaid Hat Games, Edge Entertainment, Steve Jackson Games, AEG, Matagot, Rio Grande Games and Guillotine Games, Galápagos Jogos enhanced the distribution of boardgames in Brazil, making games available in Portuguese to a wider audience.
The list of titles brought to Brazil includes: Zombicide, A Game of Thrones: Board Game, Ticket to Ride, Munchkin, 7 Wonders, Eldritch Horror, King Of Tokyo, Dixit, Citadels, Summoner Wars, The Resistance, Love Letter, Hanabi, Race for the Galaxy, Game Of Thrones LCG, among others...
Some things exist only in Galápagos!
Microbadge:"
Galápagos Jogos,Related Game,Gloomhaven
Galápagos Jogos,Related Game,Twilight Imperium: Fourth Edition
Galápagos Jogos,Related Game,Dune: Imperium
Galápagos Jogos,Related Game,Star Wars: Rebellion
Galápagos Jogos,Related Game,Gloomhaven: Jaws of the Lion
Galápagos Jogos,Related Game,Dune: Imperium – Uprising
Tiny Towns,Publishers,Hid Konem (Хід Конем)
Hid Konem (Хід Конем),Descripcion,"Ukrainian publisher and shop
Microbadge:
- Hid Konem fan
BBCode: [microbadge=57470][company=56118][/company]"
Hid Konem (Хід Конем),Related Game,Cascadia
Hid Konem (Хід Конем),Related Game,Inis
Hid Konem (Хід Конем),Related Game,Welcome To...
Hid Konem (Хід Конем),Related Game,Calico
Hid Konem (Хід Конем),Related Game,Tiny Towns
Hid Konem (Хід Конем),Related Game,Wavelength
Tiny Towns,Publishers,Korea Boardgames
Korea Boardgames,Descripcion,"Korea Boardgames Co., Ltd. is the leading board game publisher and distributor in Korea. Since our establishment in 2004, we have played a pivotal role in shaping and nurturing the country's burgeoning tabletop game culture.
Our wide range includes everything from family-friendly games to complex strategy games for hardcore enthusiasts.
With hit games like Coffee Rush, we are extending beyond the Korean market to create a global impact, bringing joy and excitement to tabletop game fans worldwide.
Korea Boardgames on Instagram
Korea Boardgames Official YouTube Channel KR
Korea Boardgames Publishing YouTube Channel EN
Korea Boardgames on X
Subscribe to our Newsletter (KBG publishing)"
Korea Boardgames,Related Game,Pandemic Legacy: Season 1
Korea Boardgames,Related Game,Ark Nova
Korea Boardgames,Related Game,Gloomhaven
Korea Boardgames,Related Game,Terraforming Mars
Korea Boardgames,Related Game,Star Wars: Rebellion
Korea Boardgames,Related Game,Gloomhaven: Jaws of the Lion
Tiny Towns,Publishers,Lanlalen
Lanlalen,Descripcion,This board game publisher created the Thai version of Resistance Avalon.
Lanlalen,Related Game,Brass: Birmingham
Lanlalen,Related Game,Stone Age
Lanlalen,Related Game,Sagrada
Lanlalen,Related Game,The Resistance: Avalon
Lanlalen,Related Game,Dixit: Odyssey
Lanlalen,Related Game,Survive: Escape from Atlantis!
Tiny Towns,Publishers,Lord of Boards
Lord of Boards,Descripcion,"Young but ambitious publisher from Ukraine
https://lordofboards.com.ua/
Microbadge:
- Lord of Boards fan
BBCode: [microbadge=53641][company=46500][/company]"
Lord of Boards,Related Game,Brass: Birmingham
Lord of Boards,Related Game,Gloomhaven: Jaws of the Lion
Lord of Boards,Related Game,Lost Ruins of Arnak
Lord of Boards,Related Game,Heat: Pedal to the Metal
Lord of Boards,Related Game,Cascadia
Lord of Boards,Related Game,Grand Austria Hotel
Tiny Towns,Publishers,Lucky Duck Games
Lucky Duck Games,Descripcion,"Lucky Duck Games is an international tabletop game publisher best known for industry-leading digital hybrid board games such as Chronicles of Crime, Destinies, Kids Chronicles, and Yummy Yummy Monster Tummy. Founded in 2016, Lucky Duck Games grew quickly from a small design studio focused on making board games based on popular video game IPs to an international publisher with more than three million games sold worldwide. Their team of more than 60 employees is based primarily in Poland, with a growing presence in France, England, Italy, and the US."
Lucky Duck Games,Related Game,Dune: Imperium
Lucky Duck Games,Related Game,Dune: Imperium – Uprising
Lucky Duck Games,Related Game,Too Many Bones
Lucky Duck Games,Related Game,Sky Team
Lucky Duck Games,Related Game,Food Chain Magnate
Lucky Duck Games,Related Game,Cascadia
Tiny Towns,Publishers,Pegasus Spiele
Pegasus Spiele,Descripcion,"Pegasus Spiele Verlags- und Medienvertriebsgesellschaft mbH, as the full name of the company goes, has been active since 1993 with its CEOs and owners Karsten Esser and Andreas Finkernagel in charge. Within the last decade, the German company has established itself not only as a distributor, but also as a publisher of successful board games - which is reflected in the ongoing series of prestigious nominations and awards. After nominations for the Spiel des Jahres in 2009 and 2010, as well as the nomination of “Strasbourg” for Kennerspiel des Jahres (expert game of the year) in 2011, the critically acclaimed “Village” by editorial partner eggertspiele was awarded Kennerspiel des Jahres 2012 and received the Deutscher Spielepreis (German Game Prize). In 2014 the jury Spiel des Jahres nominated three games simultaneously: The fast-paced family game “Camel Up” and the expert games “Istanbul” and “Rokoko”. Pegasus Spiele won both awards: “Camel Up” by editorial partner eggertspiele was awarded the Spiel des Jahres 2014, “Istanbul” won the Kennerspiel des Jahres 2014. In 2016, Pegasus Spiele was nominated for the Kinderspiel des Jahres (children’s game of the year) for the very first time with “Mmm!”. One year later, Pegasus Spiele received a double nomination for the Spiel des Jahres with “Kingdomino” and “Magic Maze” – and took the award home a second time with “Kingdomino”. At the same time, the publisher appeared on the recommendations list both for the Kinderspiel and for the Kennerspiel des Jahres.
With more than 5.000 games and toys distributed through strong trading partners, Pegasus Spiele is also known as a successful distributor. This includes numerous own brands with innovative board games like “Junta” and “The Dwarves” as well as cult card game series such as “Munchkin” and “Smash Up”. A network of 250 voluntary demonstrators assists the publishing company at fairs, conventions and events throughout German-speaking Europe in presenting its products – such as the popular team game “Captain Sonar” and the export hit “Port Royal”. Dozens of freelancers and 30 permanent employees work at the headquarters in Friedberg, near Frankfurt am Main, on creating great gaming experiences.
Pegasus Spiele is the official distributor of all German Portal Games products. Exclusively included in Pegasus Spiele’s portfolio are the inventive games of Matagot, Steve Jackson Games and White Goblin Games as well as a selection of Frosted Games titles. Furthermore, the company also distributes many exceptional game publishers like Abacus Spiele (“Hanabi”), MeterMorphosen (“Gemischtes Doppel”), Kylskapspoesi (“Gesprächsstoff”), Moses Verlag (“Black Stories”), Blaubart Verlag (“Mörderische Dinnerparty”), Adlung Spiele (“Teamwork”) and Wizkids (“Hero Clix”).
Microbadge
– Pegasus Spiele fan"
Pegasus Spiele,Related Game,Spirit Island
Pegasus Spiele,Related Game,Great Western Trail
Pegasus Spiele,Related Game,Eclipse: Second Dawn for the Galaxy
Pegasus Spiele,Related Game,Brass: Lancashire
Pegasus Spiele,Related Game,Mage Knight Board Game
Pegasus Spiele,Related Game,Everdell
Tiny Towns,Publishers,Raven Distribution
Raven Distribution,Descripcion,This page does not exist. You can edit this page to create it.
Raven Distribution,Related Game,Clank!: A Deck-Building Adventure
Raven Distribution,Related Game,Through the Ages: A Story of Civilization
Raven Distribution,Related Game,Cartographers
Raven Distribution,Related Game,The Resistance: Avalon
Raven Distribution,Related Game,Dead of Winter: A Crossroads Game
Raven Distribution,Related Game,Roll Player
Tiny Towns,Publishers,Reflexshop
Reflexshop,Descripcion,"„We don't stop playing because we grow old; we grow old because we stop playing.” - George Bernard Shaw
Reflexshop is an innovative and dynamic publisher and distributor on the Hungarian market. Working with both major and smaller foreign publishers Reflexshop offers Hungarian editions of outstanding games. Focus is on value, gameplay and quality.
A ""game changer"" on the market."
Reflexshop,Related Game,Dune: Imperium
Reflexshop,Related Game,Terraforming Mars
Reflexshop,Related Game,Dune: Imperium – Uprising
Reflexshop,Related Game,Gaia Project
Reflexshop,Related Game,Too Many Bones
Reflexshop,Related Game,Sky Team
Tiny Towns,Publishers,REXhry
REXhry,Descripcion,Czech board game publisher.
REXhry,Related Game,Dune: Imperium
REXhry,Related Game,War of the Ring: Second Edition
REXhry,Related Game,Spirit Island
REXhry,Related Game,Dune: Imperium – Uprising
REXhry,Related Game,Mage Knight Board Game
REXhry,Related Game,Everdell
Tiny Towns,Publishers,White Goblin Games
White Goblin Games,Descripcion,"White Goblin Games is a young and fast-growing publisher of board, card and dice games. The company has a broad portfolio of licenses for fun board and card games from numerous international partners. Over the past years White Goblin Games has established themselves nationally as a renowned publisher through the localization of games such as Qwixx, The Mind, Codenames, Machi Koro and many more. Additionally, they develop and publish their ‘own’ titles. This year nine new international titles will be released: Ka Pai, Montana: Goldrush, Bali: Village of Tani, Haciënda, Maya, Rat Attack, Claim Reinforcements: Magic, Claim Reinforcements: Mercenaries and Claim Reinforcements; Maps.
Based in Exloermond, Netherlands.

Microbadge:
- White Goblin Games fan"
White Goblin Games,Related Game,Brass: Birmingham
White Goblin Games,Related Game,Ark Nova
White Goblin Games,Related Game,Gaia Project
White Goblin Games,Related Game,Brass: Lancashire
White Goblin Games,Related Game,A Feast for Odin
White Goblin Games,Related Game,Lost Ruins of Arnak
Tiny Towns,Publishers,株式会社ケンビル (KenBill)
株式会社ケンビル (KenBill),Descripcion,Kenbill is a boardgame retailer in Japan.
株式会社ケンビル (KenBill),Related Game,Cascadia
株式会社ケンビル (KenBill),Related Game,Paladins of the West Kingdom
株式会社ケンビル (KenBill),Related Game,Darwin's Journey
株式会社ケンビル (KenBill),Related Game,Architects of the West Kingdom
株式会社ケンビル (KenBill),Related Game,Viscounts of the West Kingdom
株式会社ケンビル (KenBill),Related Game,Ethnos
Tiny Towns,Developer,Josh Wood
Josh Wood,Descripcion,"Josh Wood is game designer (Cat Lady, Santa Monica) and developer (Tiny Towns, Sheepy Time, The Guild of Merchant Explorers) who lives in Los Angeles, Ca.
Josh started his career in Visual Effects and has worked on several films including Guardians of the Galaxy and X-Men: Days of Future Past.
He currently works at AEG as a full time developer.
twitter: @sirjoshwood
instagram: @sirjoshwood"
Tiny Towns,Graphic Designer,Matt Paquette & Co.
Matt Paquette & Co.,Descripcion,"Matt Paquette & Co. is a boutique creative studio in Ottawa, ON (Canada) that specializes in tabletop games. Their approach of partnering with publishers rather than merely providing creative services for hire produces more immersive and usable games ending in a more robust and rich play experience."
Tiny Towns,Categories,Abstract Strategy
Abstract Strategy,Descripcion,"Abstract Strategy games are often (but not always):
theme-less
without a storyline
built on simple and/or straightforward design and mechanics
perfect information games
games that promote one player overtaking their opponent(s)
little to no elements of luck, chance, or random occurrence"
Abstract Strategy,Related Game,Azul
Abstract Strategy,Related Game,Tigris & Euphrates
Abstract Strategy,Related Game,Patchwork
Abstract Strategy,Related Game,War Chest
Abstract Strategy,Related Game,Azul: Summer Pavilion
Abstract Strategy,Related Game,Go
Tiny Towns,Categories,Animals
Animals,Descripcion,Animals games involve animals as a major component of the theme or gameplay. Animals games often require players to attend to the management or control of animals. Players may even take on the role of an animal (or animals) in the game.
Animals,Related Game,Ark Nova
Animals,Related Game,The Castles of Burgundy
Animals,Related Game,Great Western Trail
Animals,Related Game,Great Western Trail: Second Edition
Animals,Related Game,Root
Animals,Related Game,Wingspan
Tiny Towns,Categories,City Building
City Building,Descripcion,"City Building games compel players to construct and manage a city in a way that is efficient, powerful, and/or lucrative."
City Building,Related Game,7 Wonders Duel
City Building,Related Game,Everdell
City Building,Related Game,Underwater Cities
City Building,Related Game,Puerto Rico
City Building,Related Game,On Mars
City Building,Related Game,Lisboa
Tiny Towns,Categories,Puzzle
Puzzle,Descripcion,"Puzzle games are those in which the players are trying to solve a puzzle. Many puzzle games require players to use problem solving, pattern recognition, organization and/or sequencing to reach their objectives. Escape Room and Mystery Room games are types of Puzzle games."
Puzzle,Related Game,A Feast for Odin
Puzzle,Related Game,Cascadia
Puzzle,Related Game,Oathsworn: Into the Deepwood
Puzzle,Related Game,Mansions of Madness: Second Edition
Puzzle,Related Game,Azul
Puzzle,Related Game,The Search for Planet X
Tiny Towns,Mechanisms,End Game Bonuses
End Game Bonuses,Descripcion,Players earn (or lose!) bonus Victory Points (VPs) at the end of the game based on meeting victory conditions.
End Game Bonuses,Related Game,Ark Nova
End Game Bonuses,Related Game,Terraforming Mars
End Game Bonuses,Related Game,Gaia Project
End Game Bonuses,Related Game,The Castles of Burgundy
End Game Bonuses,Related Game,Scythe
End Game Bonuses,Related Game,7 Wonders Duel
Tiny Towns,Mechanisms,Follow
Follow,Descripcion,"One player selects an Action. Other players may then perform that Action, or a modified version of it. This is closely related to Action Drafting (ACT-02) and Role Selection (TRN-10), and is often implemented alongside those systems."
Follow,Related Game,Twilight Imperium: Fourth Edition
Follow,Related Game,Puerto Rico
Follow,Related Game,Race for the Galaxy
Follow,Related Game,Carnegie
Follow,Related Game,Twilight Imperium: Third Edition
Follow,Related Game,Rising Sun
Tiny Towns,Mechanisms,Grid Coverage
Grid Coverage,Descripcion,"A family of mechanisms in which players cover a grid or fill a space using a variety of shapes, such as Components: Polyominoes. This includes the coverage of areas defined (by shape or color) on the board itself with pieces or tiles.
Sometimes called a ""Tetris mechanism"", this challenges players to use shapes efficiently. It can either be the primary point of the game, as in Ubongo, or as a secondary mechanism to force players to plan and restrict their options, as in The Princes of Florence.
Games that use a single piece type to construct or enclose areas-of-control (especially when in competition over common spaces) are utilizing Enclosure."
Grid Coverage,Related Game,Ark Nova
Grid Coverage,Related Game,The Castles of Burgundy
Grid Coverage,Related Game,A Feast for Odin
Grid Coverage,Related Game,Azul
Grid Coverage,Related Game,Teotihuacan: City of Gods
Grid Coverage,Related Game,Patchwork
Tiny Towns,Mechanisms,Pattern Building
Pattern Building,Descripcion,"Players must configure game components in sophisticated patterns in order to score or trigger actions, as would be typical for games in the Puzzle category.
Azul is a modern classic designed around this mechanic. The common mechanism of Tile Placement can be considered as including pattern building via ""feature completion"" of connecting tiles."
Pattern Building,Related Game,The Castles of Burgundy
Pattern Building,Related Game,Cascadia
Pattern Building,Related Game,Kingdom Death: Monster
Pattern Building,Related Game,Azul
Pattern Building,Related Game,Harmonies
Pattern Building,Related Game,Cartographers
Tiny Towns,Mechanisms,Player Elimination
Player Elimination,Descripcion,"A player can be removed from the game, no longer participating.
In some such games, all of an eliminated player's material is removed from the game as well; in other such games this material may remain in play as neutral material. (E.g. an eliminated player's armies and cities on a map might disappear, or might be become neutral armies and cities.)
In most games, an eliminated player cannot win, but this is not necessarily true. (E.g. in some games with victory based on scores, an eliminated player's score is still eligible for victory.)
In most games with player elimination, a player is eliminated involuntarily. But in some games a player can choose to drop out (with hope that their score suffices to win (e.g. Wooly Wars).
In some games, player elimination is possible, but rare in practice and does not happen in a ""typical session"" (e.g. Age of Steam).
In some games, player elimination is common. In the extreme case, all players but one (the sole surviver = eventual winner) are eliminated during a session (e.g. Titan). In many player elimination games, typically some players are eliminated but multiple other players are not (e.g. Werewolf and BANG!).
Player elimination does not include two-player-only games where the goal is to defeat the opponent, e.g., Chess.
Microbadges
I like games with player elimination
I avoid games with player elimination"
Player Elimination,Related Game,Gloomhaven: Jaws of the Lion
Player Elimination,Related Game,Through the Ages: A New Story of Civilization
Player Elimination,Related Game,Nemesis
Player Elimination,Related Game,Clank! Legacy: Acquisitions Incorporated
Player Elimination,Related Game,Arkham Horror: The Card Game
Player Elimination,Related Game,Clank!: Catacombs
Tiny Towns,Mechanisms,Solo / Solitaire Game
Solo / Solitaire Game,Descripcion,"Games that are intended for play by a single player, or that have a game mode intended for play by a single player.
This does not include games in which a player plays both (or multiple) factions in play to the best of his abilities (something that often happens to Wargame players or to Chess players)."
Solo / Solitaire Game,Related Game,Ark Nova
Solo / Solitaire Game,Related Game,Gloomhaven
Solo / Solitaire Game,Related Game,Dune: Imperium
Solo / Solitaire Game,Related Game,Terraforming Mars
Solo / Solitaire Game,Related Game,Spirit Island
Solo / Solitaire Game,Related Game,Gloomhaven: Jaws of the Lion
Tiny Towns,Mechanisms,Square Grid
Square Grid,Descripcion,"Pieces are placed on a board tessellated with squares, which is used for adjacency and/or movement"
Square Grid,Related Game,Too Many Bones
Square Grid,Related Game,Star Wars: Imperial Assault
Square Grid,Related Game,Kingdom Death: Monster
Square Grid,Related Game,Azul
Square Grid,Related Game,Five Tribes: The Djinns of Naqala
Square Grid,Related Game,Teotihuacan: City of Gods
Tiny Towns,Mechanisms,Turn Order: Progressive
Turn Order: Progressive,Descripcion,"One player has the First Player token. At the end of the round, the token passes to the player to the left, who becomes the new First Player for that round. During the round, players take turns clockwise around the table.
Counterclockwise movement is called ""Regressive Turn Order"" and can also be included in this category."
Turn Order: Progressive,Related Game,Dune: Imperium
Turn Order: Progressive,Related Game,Terraforming Mars
Turn Order: Progressive,Related Game,Dune: Imperium – Uprising
Turn Order: Progressive,Related Game,Lost Ruins of Arnak
Turn Order: Progressive,Related Game,Wingspan
Turn Order: Progressive,Related Game,Orléans
Tiny Towns,Mechanisms,Variable Phase Order
Variable Phase Order,Descripcion,"Variable Phase Order implies that turns may not be played the same way as before and / or after.
Using Puerto Rico as an example, every turn is different. Depending on who starts selecting the roles and what roles they take, you may have to play the 'build' action sooner than you'd wish. In other games, you may be denied from taking certain action.
Most games with limited action and any game without a static game turn order fall under this 'mechanism'. Use of variable player turn order are not Variable Phase Order games."
Variable Phase Order,Related Game,Twilight Imperium: Fourth Edition
Variable Phase Order,Related Game,Kanban EV
Variable Phase Order,Related Game,Puerto Rico
Variable Phase Order,Related Game,On Mars
Variable Phase Order,Related Game,Race for the Galaxy
Variable Phase Order,Related Game,Eclipse: New Dawn for the Galaxy
Tiny Towns,Mechanisms,Variable Player Powers
Variable Player Powers,Descripcion,"Variable Player Powers is a mechanic that grants different abilities and/or paths to victory to the players. To illustrate, here are some notable examples.
In Ogre, one player controls a single powerful piece, and the other plays many weaker units. The net effect is a balanced game.
In Cosmic Encounter, each player is assigned a random special ability at the beginning of the game. Although each player has the same victory goal (establish colonies on five planets in other players' systems), their abilities enable differing means to the end.
In Here I Stand, each player controls a political power with unique ways to score victory points. Some focus on military conquest, some on religious influence, etc.
Player powers may change throughout the game, as in Small World or Sunrise City."
Variable Player Powers,Related Game,Pandemic Legacy: Season 1
Variable Player Powers,Related Game,Ark Nova
Variable Player Powers,Related Game,Gloomhaven
Variable Player Powers,Related Game,Twilight Imperium: Fourth Edition
Variable Player Powers,Related Game,Dune: Imperium
Variable Player Powers,Related Game,Terraforming Mars
Tiny Towns,Mechanisms,Variable Set-up
Variable Set-up,Descripcion,"The starting game state varies from game to game, through changes to shared game components like the map, and/or changes to starting player set-ups, resources, objectives, etc.
Examples cited from Building Blocks of Tabletop Game Design: An Encyclopedia of Mechanisms by Geoffrey Engelstein and Isaac Shalev:
Battlestar Galactica: The Board Game (Konieczka, 2008)
Catan (Teuber, 1995)
Cosmic Encounter (Eberle, Kittredge, Norton, and Olatka, 1977)
Dominion (Vaccarino, 2008)
Scythe (Stegmaier, 2016)
Specter Ops (Matsuuchi, 2015)"
Variable Set-up,Related Game,Brass: Birmingham
Variable Set-up,Related Game,Ark Nova
Variable Set-up,Related Game,Twilight Imperium: Fourth Edition
Variable Set-up,Related Game,Terraforming Mars
Variable Set-up,Related Game,War of the Ring: Second Edition
Variable Set-up,Related Game,Star Wars: Rebellion
Tiny Towns,Family,Components: 4 x 4 Grids
Components: 4 x 4 Grids,Descripcion,"Games (expansions, promos, etc.) using 4 x 4 grids in gameplay. Actual components, not just images or theme.
Games that use a 4 x 4 grid either on a gameboard or virtualy like in Dragon Master"
Components: 4 x 4 Grids,Related Game,Too Many Bones
Components: 4 x 4 Grids,Related Game,Istanbul
Components: 4 x 4 Grids,Related Game,Tiny Towns
